Opponent,Zone,Positive_Outcome,Outcome_Type
Wake,4,1,Goal
Wake,4,0,
Wake,2,1,Corner
Wake,4,0,
Wake,3,1,Corner
Wake,3,0,
Wake,2,0,
Wake,5,0,
Wake,2,1,Corner
Wake,4,0,
Wake,4,0,
Wake,3,0,
Wake,4,0,
Wake,4,1,Corner
Wake,3,1,Goal
Wake,5,0,
Wake,1,0,
Wake,2,0,
Wake,2,0,
Wake,2,1,Corner
Wake,4,0,
Wake,2,1,Goal
Wake,4,1,Shot
Wake,4,1,Goal
Wake,2,0,
Wake,1,0,
Wake,1,1,Shot
Wake,1,0,
Wake,3,0,
Wake,4,0,
Wake,1,0,
Wake,3,1,Corner
ODU,5,0,
ODU,5,0,
ODU,1,1,Corner
ODU,1,1,Corner
ODU,4,0,
ODU,2,0,
ODU,5,0,
ODU,5,0,
ODU,2,0,
ODU,5,0,
ODU,3,1,Shot
ODU,5,0,
ODU,3,1,Corner
ODU,5,0,
ODU,4,0,
ODU,2,0,
ODU,3,0,
ODU,2,1,Shot
ODU,1,0,
ODU,1,0,
ODU,2,1,Corner
ODU,5,1,Shot
ODU,5,0,
ODU,2,0,
ODU,5,1,Goal
ODU,2,1,Shot
ODU,3,1,Shot
ODU,4,1,Shot
ODU,1,1,Corner
ODU,2,1,Corner
ODU,2,1,Corner
ODU,1,0,
ODU,2,1,Corner
ODU,5,0,
ODU,5,0,
ODU,4,0,
ODU,4,1,Shot
BC,5,0,
BC,1,1,Corner
BC,1,0,
BC,1,1,Shot
BC,4,1,Shot
BC,2,0,
BC,5,1,Corner
BC,4,1,Corner
BC,3,1,Goal
BC,4,0,
BC,1,0,
BC,4,1,Shot
BC,1,0,
BC,5,0,
BC,1,0,
BC,2,0,
BC,3,1,Shot
BC,1,0,
BC,1,0,
BC,1,1,Corner
BC,1,1,Corner
BC,2,0,
BC,2,0,
BC,5,1,Corner
BC,4,1,Shot
BC,3,1,Goal
BC,4,1,Shot
BC,4,1,Shot
BC,3,1,Stroke
BC,3,1,Shot
UVA,4,0,
UVA,5,0,
UVA,1,0,
UVA,1,0,
UVA,3,0,
UVA,4,0,
UVA,4,0,
UVA,1,1,Corner
UVA,3,0,
UVA,3,1,Corner
UVA,1,0,
UVA,5,0,